,week,hour_of_week,WindowsToAgentCalls,rate,treatment
2067,13,99,11,0.00012212859030298994,0.0
2068,13,100,19,0.00016114395243709025,0.0
2069,13,101,34,0.00020538718504781292,0.0
2070,13,102,178,0.0009162222817023204,0.0
2071,13,103,243,0.0012269628881595557,0.0
2072,13,104,253,0.0013172349520224503,0.0
2073,13,105,383,0.0022034161580016223,0.0
2074,13,106,442,0.00261297264063941,0.0
2075,13,107,461,0.002772465389287819,0.0
2076,13,108,464,0.003008747414357691,0.0
2077,13,109,413,0.0029838453313296535,0.0
2078,13,110,386,0.0033565801144367726,0.0
2079,13,111,405,0.004297310202132739,0.0
2080,13,112,339,0.0040981129338378405,0.0
2081,13,113,257,0.003352028172688144,0.0
2082,13,114,185,0.0024832881419635426,0.0
2083,13,115,134,0.0018713254290781628,0.0
2084,13,116,98,0.001430364597016668,0.0
2085,13,117,63,0.0009960001897143219,0.0
2086,13,118,26,0.00042308067823087185,0.0
2087,13,119,15,0.0002476228209191759,0.0
2088,13,120,7,0.00011648805165413033,0.0
2089,13,121,9,0.00015508417624455052,0.0
2090,13,122,5,8.133122956552857e-05,0.0
2091,13,123,5,7.801285651875429e-05,0.0
2092,13,124,10,0.00014333835017558947,0.0
2093,13,125,28,0.00035095635607029156,0.0
2094,13,126,42,0.0004702773516666853,0.0
2095,13,127,210,0.0021486013628271503,0.0
2096,13,128,247,0.002465881977098246,0.0
2097,13,129,283,0.0028572293961452644,0.0
2098,13,130,296,0.003038515233637185,0.0
2099,13,131,321,0.0034046795782864173,0.0
2100,13,132,338,0.0037265711135611905,0.0
2101,13,133,275,0.003247098274905244,0.0
2102,13,134,271,0.003429988988596236,0.0
2103,13,135,260,0.003638704621154869,0.0
2104,13,136,258,0.0038064325759811155,0.0
2105,13,137,154,0.002313250116413561,0.0
2106,13,138,64,0.0009648289689897939,0.0
2107,13,139,51,0.0007727741075216679,0.0
2108,13,140,31,0.0004706668286165432,0.0
2109,13,141,26,0.00040119741999197604,0.0
2110,13,142,13,0.00021064229697323223,0.0
2111,13,143,10,0.00016516640515319185,0.0
2112,13,144,11,0.00018330278286952175,0.0
2113,13,145,3,5.078892124331279e-05,0.0
2114,13,146,9,0.00015621745469693814,0.0
2115,13,147,2,3.368534519057484e-05,0.0
2116,13,148,4,6.0928241763263316e-05,0.0
2117,13,149,14,0.00019388970445669335,0.0
2118,13,150,36,0.00044165276278339385,0.0
2119,13,151,143,0.0016046141071388495,0.0
2120,13,152,162,0.001752374359085304,0.0
2121,13,153,216,0.002295674354341588,0.0
2122,13,154,216,0.002286270732559247,0.0
2123,13,155,249,0.0026911645501215887,0.0
2124,13,156,276,0.0030488141659394436,0.0
2125,13,157,233,0.0026892269338196256,0.0
2126,13,158,220,0.0027178948668849217,0.0
2127,13,159,213,0.002730909277398841,0.0
2128,13,160,187,0.0023863911894947743,0.0
2129,13,161,159,0.0018657373182666243,0.0
2130,13,162,60,0.0006605965186563467,0.0
2131,13,163,36,0.0004168644843038942,0.0
2132,13,164,33,0.00038926570333235033,0.0
2133,13,165,16,0.0001909512954851953,0.0
2134,13,166,12,0.00014263978699125142,0.0
2135,13,167,12,0.00012640094379371366,0.0
2136,14,0,10,0.00010052069721155586,0.0
2137,14,1,2,2.0243734564152393e-05,0.0
2138,14,2,3,2.940426949993139e-05,0.0
2139,14,3,6,5.2142174328669504e-05,0.0
2140,14,4,11,6.556399940396365e-05,0.0
2141,14,5,51,0.00020618640059187626,0.0
2142,14,6,156,0.0005669758381065915,0.0
2143,14,7,253,0.0009629034774897525,0.0
2144,14,8,288,0.001161646310966264,0.0
2145,14,9,329,0.0015243408036843642,0.0
2146,14,10,330,0.0016147421061130222,0.0
2147,14,11,361,0.0018367108121721523,0.0
2148,14,12,392,0.0021142789337993376,0.0
2149,14,13,372,0.0022097347130314946,0.0
2150,14,14,355,0.002589313066184301,0.0
2151,14,15,382,0.0033298465829846584,0.0
