HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
208092,206792,2017,4,6,16
90406,90018,2017,1,14,0
84851,84475,2017,1,22,23
141128,140610,2017,1,23,22
65663,65378,2017,2,12,0
198719,197499,2017,2,28,14
82196,81677,2017,3,4,0
166774,165983,2017,3,27,11
85221,84714,2017,4,3,0
199125,197856,2017,4,7,15
130083,129611,2017,1,2,14
177340,176600,2017,1,6,19
100973,100468,2017,1,7,19
78347,77967,2017,1,14,2
82944,82589,2017,1,19,6
84208,83867,2017,1,19,7
169669,169071,2017,2,1,14
55384,55142,2017,2,5,7
77270,76965,2017,2,7,5
101803,101373,2017,2,8,23
88951,88604,2017,2,10,23
95831,95438,2017,2,14,1
83854,83484,2017,2,23,8
82868,82510,2017,2,23,10
57086,56748,2017,3,4,7
64526,64192,2017,3,5,12
84726,84226,2017,3,7,4
62384,62043,2017,3,12,5
99482,98813,2017,4,3,7
89429,88890,2017,4,7,3
107855,107385,2017,1,16,23
246913,246154,2017,1,23,16
103649,103038,2017,3,3,0
111721,111076,2017,3,20,23
171071,169999,2017,3,23,20
112677,111948,2017,3,29,11
193466,192719,2017,1,5,15
55399,55129,2017,1,7,8
57067,56797,2017,1,8,7
68662,68378,2017,1,15,5
67924,67545,2017,3,12,12
87582,87076,2017,3,18,21
259675,258055,2017,3,21,18
253104,252312,2017,1,9,16
91275,90873,2017,1,16,9
77085,76768,2017,1,30,7
53936,53709,2017,2,4,10
251373,250637,2017,2,6,15
76528,76229,2017,2,10,4
85252,84847,2017,2,12,21
73583,73230,2017,2,15,6
140014,139439,2017,2,15,21
131917,131546,2017,2,21,12
219214,218482,2017,2,21,15
74125,73771,2017,2,24,8
91729,91204,2017,2,24,23
100455,99742,2017,3,26,16
59373,59007,2017,4,2,10
173206,171929,2017,4,5,17
286339,285610,2017,1,3,14
215867,215061,2017,1,12,17
75165,74849,2017,1,14,3
146618,146169,2017,1,17,12
152730,152079,2017,2,15,20
190780,190175,2017,2,20,15
177651,176496,2017,3,1,14
94217,93634,2017,3,14,1
87629,87037,2017,3,28,6
95490,94953,2017,3,29,0
79127,78791,2017,1,26,10
121069,120697,2017,1,26,12
53575,53373,2017,2,5,10
70849,70563,2017,2,10,5
91788,91300,2017,3,20,0
71703,71398,2017,1,27,7
81982,81656,2017,2,6,6
95944,95503,2017,1,2,23
145833,145259,2017,1,9,22
54784,54556,2017,1,22,9
91891,91505,2017,1,23,2
98863,98440,2017,2,1,23
96474,96122,2017,2,23,1
62687,62135,2017,3,25,10
180669,179490,2017,3,29,13
90069,89496,2017,3,31,10
89504,88933,2017,4,9,17
68775,68447,2017,1,1,14
114408,113922,2017,1,3,23
91550,91121,2017,1,9,10
215843,215018,2017,1,9,18
90020,89608,2017,1,10,9
83168,82800,2017,1,14,1
87050,86617,2017,1,18,9
88860,88479,2017,1,23,3
79917,79628,2017,2,5,14
74616,74310,2017,2,14,5
105254,104584,2017,3,1,23
165790,164743,2017,3,3,19
217130,215741,2017,3,6,17
79788,79264,2017,3,17,6
69836,69405,2017,3,19,3
103518,102946,2017,3,23,1
69418,69050,2017,4,8,11
77114,76757,2017,1,6,9
85094,84771,2017,1,9,6
278726,278073,2017,1,30,14
90112,89543,2017,2,27,2
168956,167827,2017,2,28,20
114811,114353,2017,1,5,12
89719,89335,2017,1,12,5
72272,71948,2017,2,3,7
87218,86856,2017,2,7,3
95263,94852,2017,2,16,0
83933,83621,2017,2,17,23
175612,174937,2017,2,23,17
85525,84938,2017,3,2,7
95522,94914,2017,3,7,2
113222,112719,2017,1,11,0
91394,90994,2017,1,14,21
159499,158868,2017,1,19,21
90208,89847,2017,1,21,14
94046,93624,2017,1,21,19
102168,101724,2017,1,24,1
172080,171413,2017,2,3,17
81066,80739,2017,2,17,3
196838,195662,2017,3,2,17
88574,87995,2017,3,11,20
101190,100556,2017,3,17,2
173656,172761,2017,3,20,11
94132,93405,2017,3,26,20
78788,78321,2017,3,29,4
175681,174957,2017,1,5,18
80118,79792,2017,1,18,5
87517,87179,2017,2,6,9
80646,80325,2017,2,9,6
88836,88178,2017,2,27,10
91376,90770,2017,4,8,18
53109,52878,2017,2,5,8
91598,91190,2017,2,5,18
76773,76437,2017,2,8,5
60269,60017,2017,2,18,5
71413,71115,2017,1,27,6
72767,72469,2017,2,24,7
82888,82393,2017,2,26,14
142413,141417,2017,3,8,21
91909,91273,2017,3,9,9
90278,89612,2017,3,21,8
185615,184755,2017,1,11,18
90848,90435,2017,1,18,11
123611,123121,2017,1,25,22
195451,194823,2017,2,6,18
56084,55858,2017,2,18,6
140785,140236,2017,2,20,20
81814,81232,2017,2,28,6
86219,85617,2017,3,8,10
167233,166087,2017,3,8,19
81516,80934,2017,3,10,8
58084,57714,2017,3,19,8
175050,174324,2017,1,11,20
88290,87931,2017,1,20,11
87326,86944,2017,1,22,22
85575,85089,2017,3,13,0
137949,137092,2017,4,7,20
127926,127361,2017,1,5,22
65164,64884,2017,1,22,5
201181,200427,2017,1,26,17
187986,187332,2017,2,24,16
91109,90565,2017,3,11,19
68926,68552,2017,3,19,11
122772,121916,2017,3,24,21
165541,164649,2017,3,31,12
150417,149786,2017,1,5,21
87992,87637,2017,1,9,0
225668,224837,2017,1,9,17
88881,88414,2017,1,17,9
64317,64035,2017,1,21,5
64908,64650,2017,2,11,12
56259,56020,2017,2,12,11
56629,56330,2017,2,26,8
65692,65312,2017,2,26,12
84653,84129,2017,2,26,22
131322,130607,2017,3,3,22
130756,130029,2017,3,9,12
53881,53550,2017,3,12,9
176611,175425,2017,3,20,20
88709,88158,2017,3,22,3
129242,128496,2017,3,30,11
75905,75559,2017,2,3,10
190616,189894,2017,2,9,17
82237,81909,2017,2,10,3
75191,74847,2017,2,17,9
87493,86844,2017,3,2,10
88809,88279,2017,3,6,0
92342,91753,2017,3,10,2
99666,99065,2017,3,18,19
102217,101573,2017,3,19,18
233571,232148,2017,4,6,14
73670,73344,2017,1,2,6
181059,180294,2017,1,5,17
95483,95035,2017,1,6,2
80437,80105,2017,1,17,5
59088,58831,2017,1,29,5
71672,71388,2017,2,1,6
71402,71080,2017,2,3,6
79629,79309,2017,2,6,1
75858,75561,2017,2,6,3
84079,83524,2017,3,2,6
58963,58575,2017,3,5,11
91244,90655,2017,3,6,2
62423,62066,2017,3,11,5
105689,105043,2017,3,15,0
75115,74672,2017,3,19,0
85193,84580,2017,3,31,7
95132,94375,2017,4,5,7
81771,81303,2017,4,7,5
81176,80775,2017,1,1,20
133511,133020,2017,1,19,22
101748,101351,2017,1,20,1
97235,96800,2017,1,22,19
95789,95394,2017,1,28,15
70797,70509,2017,1,29,13
170841,170371,2017,2,3,13
83781,83447,2017,2,13,3
88120,87510,2017,2,27,7
185449,184243,2017,2,27,20
184452,183467,2017,3,2,13
85981,85407,2017,3,13,2
164626,163936,2017,1,6,20
97276,96812,2017,1,7,20
214889,214048,2017,1,10,16
122631,122143,2017,1,12,23
91124,90714,2017,1,16,10
75842,75536,2017,1,20,6
76324,76015,2017,1,20,7
165522,165127,2017,1,23,12
88450,88070,2017,2,11,19
55210,54994,2017,2,19,11
86876,86370,2017,4,8,19
66684,66383,2017,1,8,12
190251,189430,2017,1,10,18
180401,179603,2017,1,10,20
94364,93975,2017,1,12,8
86142,85776,2017,1,18,10
80184,79805,2017,1,20,10
64873,64625,2017,1,29,2
61843,61585,2017,1,29,12
